Method,Unfreeze,Backbone,1,16,64,128,256,512
linear_probe,True,PeskaVLP,0.19 (30),0.24 (30),0.26 (30),0.26 (30),0.26 (30),0.27 (30)
linear_probe,False,PeskaVLP,0.21 (30),0.24 (30),0.26 (30),0.26 (30),0.26 (30),0.26 (30)
linear_probe,False,PeskaVLP_negation_pretrain,0.20 (30),0.24 (30),0.25 (30),0.24 (30),0.25 (30),-
negation_nce,True,PeskaVLP,0.28 (50),0.31 (50),0.32 (50),0.31 (50),0.31 (50),0.32 (50)
negation_nce,True,SurgVLP,0.29 (50),0.32 (50),0.32 (50),0.31 (50),0.31 (50),0.31 (50)
bi_cross_attn_img,True,PeskaVLP,0.20 (30),0.25 (30),0.24 (30),0.25 (30),0.26 (30),0.26 (30)
bi_cross_attn_img,True,SurgVLP,0.21 (30),0.30 (30),0.33 (30),0.34 (30),0.36 (30),0.38 (30)
bi_cross_attn_text,True,PeskaVLP,0.20 (30),0.26 (30),0.28 (30),0.29 (30),0.29 (30),0.30 (30)
bi_cross_attn_text,True,SurgVLP,0.22 (30),0.30 (30),0.31 (30),0.32 (30),0.34 (30),0.35 (30)
mixture_img,True,PeskaVLP,0.19 (50),0.21 (50),0.26 (50),0.26 (50),0.27 (50),0.26 (50)
mixture_text,True,PeskaVLP,0.19 (50),0.27 (50),0.29 (50),0.30 (50),0.27 (50),0.29 (50)
clip_adapter,False,PeskaVLP,0.26 (200),0.26 (200),0.27 (200),0.26 (200),0.26 (200),0.26 (200)
