timestamp,method,attn_pool,precision_avg,recall_avg,f1_avg,mAP_avg,batch_size,num_shots,tasks,epochs,unfreeze,unfreeze_layer,init_alpha
2025-07-07 19:23:45,negation,False,0.3029,0.6788,0.4172,0.2541,64,128,3,100,False,NA,NA
2025-07-07 20:23:23,simple,False,0.3018,0.6702,0.4143,0.2613,64,128,3,100,False,NA,NA
2025-07-08 02:12:17,negation,False,0.2989,0.6791,0.4139,0.2531,64,128,3,100,False,NA,NA

2025-07-08 17:57:31,aggre_negation,False,0.2786,0.7118,0.3982,0.2829,64,1,3,30,False,NA,NA
2025-07-08 18:10:04,aggre_negation,False,0.2832,0.8513,0.4248,0.2995,64,16,3,30,False,NA,NA
2025-07-08 18:44:42,age_negation,False,0.2088,0.8162,0.3323,0.2453,64,64,3,30,False,NA,NA


2025-07-08 22:15:17,negation,False,0.2251,0.4799,0.3044,0.2096,64,1,3,30,True,last,NA
2025-07-08 22:21:35,negation,False,0.3251,0.6573,0.4346,0.2482,64,16,3,30,True,last,NA
2025-07-08 22:33:15,negation,False,0.2773,0.5191,0.3606,0.2655,64,64,3,30,True,last,NA
2025-07-08 22:51:42,negation,False,0.2974,0.6375,0.4044,0.253,64,128,3,30,True,last,NA

timestamp,method,attn_pool,precision_avg,recall_avg,f1_avg,mAP_avg,batch_size,num_shots,tasks,epochs,unfreeze,unfreeze_layer,init_alpha
2025-07-08 23:27:22,aggre_negation,False,0.2823,0.7744,0.4129,0.2791,64,1,3,30,True,last,NA
2025-07-08 23:39:15,aggre_negation,False,0.2803,0.8519,0.4213,0.2997,64,16,3,30,True,last,NA
2025-07-09 00:13:12,aggre_negation,False,0.2078,0.8114,0.3306,0.2407,64,64,3,30,True,last,NA
2025-07-09 01:17:38,aggre_negation,False,0.1948,0.8438,0.3165,0.2106,64,128,3,30,True,last,NA

2025-07-14 18:40:35,negation_nce,False,0.2849,0.7869,0.4154,0.2782,64,1,5,30,False,NA,NA
2025-07-15 14:10:35,negation_nce,False,0.2943,0.8603,0.4384,0.3116,64,16,5,30,False,NA,NA
2025-07-15 14:50:46,negation_nce,False,0.1978,0.8717,0.3224,0.2085,64,64,5,30,False,NA,NA
2025-07-15 16:06:17,negation_nce,False,0.1882,0.8759,0.3098,0.1985,64,128,5,30,False,NA,NA
2025-07-14 18:58:33,negation_nce,False,0.2849,0.7869,0.4154,0.2782,64,1,5,100,False,NA,NA
2025-07-15 14:34:34,negation_nce,False,0.2943,0.8603,0.4384,0.3116,64,16,5,100,False,NA,NA
2025-07-15 15:40:08,negation_nce,False,0.1978,0.8717,0.3224,0.2085,64,64,5,100,False,NA,NA
