timestamp,method,precision_avg,recall_avg,f1_avg,mAP_avg,p_acc_avg,p_f1_avg,we_precision_avg,we_recall_avg,we_f1_avg,we_mAP_avg,we_p_acc_avg,we_p_f1_avg,batch_size,early_stop,annealling,lr,num_shots,tasks,epochs,unfreeze_vision,unfreeze_text,init_alpha,clip_ad_alpha,backbone,finetune,tip_alpha,tip_beta
2025-08-30 18:58:12,clip_adapter,0.226,0.7706,0.3493,0.2997,-1,-1,-1,-1,-1,-1,-1,-1,64,100,True,0.01,1,3,50,False,False,NA,0.5,PeskaVLP,NA,NA,NA
2025-08-30 19:01:37,clip_adapter,0.2158,0.7816,0.3382,0.2992,-1,-1,-1,-1,-1,-1,-1,-1,64,100,True,0.01,16,3,50,False,False,NA,0.5,PeskaVLP,NA,NA,NA
2025-08-30 19:11:02,clip_adapter,0.2144,0.7857,0.3369,0.2991,-1,-1,-1,-1,-1,-1,-1,-1,64,100,True,0.01,64,3,50,False,False,NA,0.5,PeskaVLP,NA,NA,NA
2025-08-30 19:29:06,clip_adapter,0.2212,0.7679,0.3435,0.2989,-1,-1,-1,-1,-1,-1,-1,-1,64,100,True,0.01,128,3,50,False,False,NA,0.5,PeskaVLP,NA,NA,NA

2025-08-31 16:00:43,cocoop,0.2213,0.2612,0.1685,0.1982,-1,-1,-1,-1,-1,-1,-1,-1,64,100,True,0.01,1,3,50,False,False,NA,NA,PeskaVLP,NA,NA,NA
2025-09-01 01:32:51,cocoop,0.3449,0.248,0.2255,0.2158,-1,-1,-1,-1,-1,-1,-1,-1,64,100,True,0.01,16,3,50,False,False,NA,NA,PeskaVLP,NA,NA,NA
2025-09-01 14:48:40,cocoop,0.5225,0.1906,0.2727,0.249,-1,-1,-1,-1,-1,-1,-1,-1,64,100,True,0.01,64,3,50,False,False,NA,NA,PeskaVLP,NA,NA,NA

2025-08-30 19:36:04,coop,0.1838,0.1428,0.1602,0.2086,-1,-1,-1,-1,-1,-1,-1,-1,64,100,True,0.01,1,3,50,False,False,NA,NA,PeskaVLP,NA,NA,NA
2025-08-30 19:49:05,coop,0.2991,0.0747,0.1191,0.2135,-1,-1,-1,-1,-1,-1,-1,-1,64,100,True,0.01,16,3,50,False,False,NA,NA,PeskaVLP,NA,NA,NA
2025-08-30 20:07:08,coop,0.5361,0.4745,0.5015,0.2878,-1,-1,-1,-1,-1,-1,-1,-1,64,100,True,0.01,64,3,50,False,False,NA,NA,PeskaVLP,NA,NA,NA
2025-08-30 20:33:08,coop,0.5585,0.6531,0.602,0.3524,-1,-1,-1,-1,-1,-1,-1,-1,64,100,True,0.01,128,3,50,False,False,NA,NA,PeskaVLP,NA,NA,NA

2025-08-30 17:40:16,dual_coop,0.1852,0.8855,0.3056,0.1839,-1,-1,-1,-1,-1,-1,-1,-1,64,100,True,0.01,1,3,50,False,False,NA,NA,PeskaVLP,NA,NA,NA
2025-08-30 17:51:28,dual_coop,0.2326,0.9414,0.3719,0.2491,-1,-1,-1,-1,-1,-1,-1,-1,64,100,True,0.01,16,3,50,False,False,NA,NA,PeskaVLP,NA,NA,NA
2025-08-30 18:25:19,dual_coop,0.2449,0.9784,0.3914,0.3399,-1,-1,-1,-1,-1,-1,-1,-1,64,100,True,0.01,64,3,50,False,False,NA,NA,PeskaVLP,NA,NA,NA
