/home/yongxuan/.local/lib/python3.8/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/yongxuan/.local/lib/python3.8/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet50_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet50_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
/home/yongxuan/anaconda3/envs/clip/lib/python3.8/site-packages/huggingface_hub/file_download.py:943: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
/home/yongxuan/anaconda3/envs/clip/lib/python3.8/site-packages/transformers/modeling_utils.py:463: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  return torch.load(checkpoint_file, map_location="cpu")
Some weights of the model checkpoint at emilyalsentzer/Bio_ClinicalBERT were not used when initializing BertModel: ['cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.dense.bias', 'cls.seq_relationship.weight', 'cls.predictions.transform.dense.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.LayerNorm.weight', 'cls.seq_relationship.bias', 'cls.predictions.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Preparing dataset.
Preparing training dataset
train has 86304 pieces of data
43152 for training
43152 for validation
Preparing testing dataset
test has 26063 pieces of data
dataset class names: ['Grasper', 'Bipolar', 'Hook', 'Scissors', 'Clipper', 'Irrigator', 'SpecimenBag']
template: {'Grasper': 'I use grasper tor cautery forcep to grasp it', 'Bipolar': 'I use bipolar to coagulate and clean the bleeding', 'Hook': 'I use hook to dissect it', 'Scissors': 'I use scissors', 'Clipper': 'I use clipper to clip it', 'Irrigator': 'I use irrigator to suck it', 'SpecimenBag': 'I use specimenbag to wrap it'}
Unfrozen layer4 of vision encoder
/home/yongxuan/anaconda3/envs/clip/lib/python3.8/site-packages/huggingface_hub/file_download.py:943: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
/home/yongxuan/SurgVLP/datasets/utils.py:74: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  features = torch.load(f"{cfg.cache_dir}/{split}local_f_part{part_idx}.pt")
loading num parts:  0
loading num parts:  1
/home/yongxuan/SurgVLP/datasets/utils.py:75: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  labels = torch.load(f"{cfg.cache_dir}/{split}local_l_part{part_idx}.pt")
loading num parts:  2
loading num parts:  3
loading num parts:  4
num_shots is  16
num_shots is  16
Epoch 1 Loss: 0.9591
Epoch 1 best val f1 0.0724 test f1 0.3057743310928345
Epoch 2 Loss: 0.5782
Epoch 3 Loss: 0.5766
Epoch 4 Loss: 0.5825
Epoch 5 Loss: 0.5705
Epoch 6 Loss: 0.5522
Epoch 7 Loss: 0.5413
Epoch 8 Loss: 0.5370
Epoch 9 Loss: 0.5380
Epoch 9 best val f1 0.1511 test f1 0.3057743310928345
Epoch 10 Loss: 0.5353
Epoch 10 best val f1 0.3736 test f1 0.3057743310928345
Epoch 11 Loss: 0.5297
Epoch 11 best val f1 0.4271 test f1 0.3057743310928345
Epoch 12 Loss: 0.5223
Epoch 12 best val f1 0.4408 test f1 0.3057743310928345
Epoch 13 Loss: 0.5159
Epoch 14 Loss: 0.5057
Epoch 14 best val f1 0.4459 test f1 0.3057743310928345
Epoch 15 Loss: 0.5019
Epoch 16 Loss: 0.5001
Epoch 17 Loss: 0.4949
Epoch 18 Loss: 0.4951
Epoch 19 Loss: 0.4952
Epoch 20 Loss: 0.4936
Epoch 21 Loss: 0.4955
Epoch 22 Loss: 0.4992
Epoch 23 Loss: 0.4985
Epoch 24 Loss: 0.4983
Epoch 25 Loss: 0.5005
Epoch 26 Loss: 0.5017
Epoch 27 Loss: 0.4987
Epoch 28 Loss: 0.5016
Epoch 29 Loss: 0.5006
Epoch 30 Loss: 0.5002
Epoch 31 Loss: 0.4988
Epoch 32 Loss: 0.4995
Epoch 33 Loss: 0.4988
Epoch 34 Loss: 0.5025
Epoch 35 Loss: 0.5013
Epoch 36 Loss: 0.5030
Epoch 37 Loss: 0.5028
Epoch 38 Loss: 0.5028
Epoch 39 Loss: 0.5024
Epoch 40 Loss: 0.5027
Epoch 41 Loss: 0.5009
Epoch 42 Loss: 0.5013
Epoch 43 Loss: 0.5017
Epoch 44 Loss: 0.5009
Epoch 45 Loss: 0.5018
Epoch 46 Loss: 0.5023
Epoch 47 Loss: 0.5018
Epoch 48 Loss: 0.5025
Epoch 49 Loss: 0.5012
Epoch 50 Loss: 0.5013
Epoch 51 Loss: 0.5006
Epoch 52 Loss: 0.5026
Epoch 53 Loss: 0.5021
Epoch 54 Loss: 0.5013
Epoch 55 Loss: 0.5009
Epoch 56 Loss: 0.5005
Epoch 57 Loss: 0.5027
Epoch 58 Loss: 0.5021
Epoch 59 Loss: 0.5026
Epoch 60 Loss: 0.5044
Epoch 61 Loss: 0.5026
Epoch 62 Loss: 0.4992
Epoch 63 Loss: 0.5012
Epoch 64 Loss: 0.5024
Epoch 65 Loss: 0.4997
Epoch 66 Loss: 0.5012
Epoch 67 Loss: 0.5011
Epoch 68 Loss: 0.5009
Epoch 69 Loss: 0.5019
Epoch 70 Loss: 0.5015
Epoch 71 Loss: 0.5010
Epoch 72 Loss: 0.5028
Epoch 73 Loss: 0.5036
