2025-06-26 16:21:02,569 INFO    MainThread:121444 [wandb_setup.py:_flush():68] Configure stats pid to 121444
2025-06-26 16:21:02,570 INFO    MainThread:121444 [wandb_setup.py:_flush():68] Loading settings from /home/yongxuan/.config/wandb/settings
2025-06-26 16:21:02,570 INFO    MainThread:121444 [wandb_setup.py:_flush():68] Loading settings from /home/yongxuan/SurgVLP/wandb/settings
2025-06-26 16:21:02,570 INFO    MainThread:121444 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2025-06-26 16:21:02,570 INFO    MainThread:121444 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'few_shot.py', 'program': 'few_shot.py'}
2025-06-26 16:21:02,570 INFO    MainThread:121444 [wandb_init.py:_log_setup():476] Logging user logs to /home/yongxuan/SurgVLP/wandb/run-20250626_162102-0hhcyl3x/logs/debug.log
2025-06-26 16:21:02,570 INFO    MainThread:121444 [wandb_init.py:_log_setup():477] Logging internal logs to /home/yongxuan/SurgVLP/wandb/run-20250626_162102-0hhcyl3x/logs/debug-internal.log
2025-06-26 16:21:02,570 INFO    MainThread:121444 [wandb_init.py:init():516] calling init triggers
2025-06-26 16:21:02,570 INFO    MainThread:121444 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'dataset_config': {'dataset_root': '/home/yongxuan/datasets/cholec80', 'num_classes': 7}, 'model_config': {'type': 'SurgVLP', 'backbone_img': {'type': 'img_backbones/ImageEncoder', 'num_classes': 768, 'pretrained': 'imagenet', 'backbone_name': 'resnet_50', 'img_norm': False}, 'backbone_text': {'type': 'text_backbones/BertEncoder', 'text_bert_type': 'emilyalsentzer/Bio_ClinicalBERT', 'text_last_n_layers': 4, 'text_aggregate_method': 'sum', 'text_norm': False, 'text_embedding_dim': 768, 'text_freeze_bert': False, 'text_agg_tokens': True}}, 'attention_pooling': False, 'preload_local_features': True, 'cache_dir': '/home/yongxuan/SurgVLP/cache', 'batch_size': 64, 'tasks': 3, 'num_shots': 4, 'lr': 0.001, 'epochs': 300, 'unfreeze': False, 'unfreeze_layer': 'last', 'init_alpha': 0.0}
2025-06-26 16:21:02,570 INFO    MainThread:121444 [wandb_init.py:init():569] starting backend
2025-06-26 16:21:02,570 INFO    MainThread:121444 [wandb_init.py:init():573] setting up manager
2025-06-26 16:21:02,570 INFO    MainThread:121444 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-06-26 16:21:02,570 INFO    MainThread:121444 [wandb_init.py:init():580] backend started and connected
2025-06-26 16:21:02,572 INFO    MainThread:121444 [wandb_init.py:init():658] updated telemetry
2025-06-26 16:21:02,609 INFO    MainThread:121444 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2025-06-26 16:21:03,185 INFO    MainThread:121444 [wandb_run.py:_on_init():2000] communicating current version
2025-06-26 16:21:03,239 INFO    MainThread:121444 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.20.1 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2025-06-26 16:21:03,239 INFO    MainThread:121444 [wandb_init.py:init():728] starting run threads in backend
2025-06-26 16:21:03,931 INFO    MainThread:121444 [wandb_run.py:_console_start():1980] atexit reg
2025-06-26 16:21:03,931 INFO    MainThread:121444 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2025-06-26 16:21:03,931 INFO    MainThread:121444 [wandb_run.py:_redirect():1903] Wrapping output streams.
2025-06-26 16:21:03,931 INFO    MainThread:121444 [wandb_run.py:_redirect():1925] Redirects installed.
2025-06-26 16:21:03,932 INFO    MainThread:121444 [wandb_init.py:init():765] run started, returning control to user process
2025-06-26 16:23:34,643 INFO    MainThread:121444 [wandb_run.py:_finish():1746] finishing run caoyutong26-nus/few-shot-surgvlp/0hhcyl3x
2025-06-26 16:23:34,644 INFO    MainThread:121444 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2025-06-26 16:23:34,644 INFO    MainThread:121444 [wandb_run.py:_restore():1932] restore
2025-06-26 16:23:34,644 INFO    MainThread:121444 [wandb_run.py:_restore():1938] restore done
2025-06-26 16:23:40,589 INFO    MainThread:121444 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2025-06-26 16:23:40,590 INFO    MainThread:121444 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2025-06-26 16:23:40,594 INFO    MainThread:121444 [wandb_run.py:_footer_sync_info():3333] logging synced files
